0,1,2,3,4,5,6
0.6649836,0.23653577,0.2500864,0.24225438,0.9183567,0.5446507,0.28629187
0.61334205,0.6279318,0.5738573,0.4714767,0.7434988,0.3704937,0.37408078
0.59821135,0.5037747,0.10482048,0.42204344,0.5368686,0.41927698,0.22430575
0.46559447,0.47199395,0.43049675,0.5088884,0.45967725,0.27255133,0.64602077
0.8182901,0.24117543,0.3061507,0.3391697,0.5031769,0.7432679,0.45794085
0.48678815,0.3942753,0.5860507,0.7758282,0.6849887,0.49251452,0.09045526
0.3327991,0.35015747,0.08583589,0.34811816,0.75125384,0.28415996,0.69026685
0.46204484,0.22412649,0.6744826,0.60428774,0.4499129,0.33289692,0.3972675
0.8476563,0.64598674,0.26265052,0.6273158,0.44440234,0.30214733,0.20912607
0.43426794,0.30896175,0.8554781,0.18801871,0.76584435,0.6944274,0.448989
0.7808437,0.40352225,0.7208188,0.4377354,0.6421618,0.42376688,0.7569859
0.64013237,0.24726081,0.61614424,0.32962638,0.63757145,0.34022367,0.38560092
0.72252417,0.3672521,0.6543834,0.2769198,0.52563524,0.276577,0.35024014
0.4282948,0.41125837,0.31626713,0.5837663,0.3875788,0.2244901,0.6192649
0.32860398,0.40091205,0.6897579,0.59705764,0.56729436,0.4089394,0.20107189
0.28523156,0.3682968,0.3611716,0.359922,0.47154376,0.24478495,0.41387185
0.7341289,0.24071644,0.7095488,0.26635894,0.6131618,0.37101158,0.402539
0.870853,0.615523,0.30484167,0.5560514,0.5469072,0.33347744,0.31761128
0.62010574,0.41039854,0.40770367,0.700261,0.60021836,0.21114258,0.4897001
0.66988873,0.16332088,0.20556356,0.4130729,0.9082924,0.6672792,0.0893531
0.8082301,0.41952625,0.4643612,0.21603656,0.56729007,0.6604636,0.54333806
0.2420669,0.24172147,0.3527839,0.37878188,0.37239167,0.35787857,0.57549566
0.8578995,0.8490469,0.5494919,0.17221037,0.5054047,0.36362052,0.7429377
0.84520906,0.76755136,0.52399874,0.6678115,0.5784142,0.1954694,0.21733071
0.96649164,0.21125422,0.4807545,0.47741437,0.6603252,0.4475684,0.24213901
0.74596834,0.56585515,0.4032693,0.3990514,0.28225872,0.5699405,0.58580494
0.45886743,0.37523168,0.62137073,0.46763387,0.379008,0.26653972,0.32897913
0.658156,0.35665992,0.6309927,0.2472505,0.8380466,0.3095376,0.15120982
0.50921434,0.46038607,0.2959777,0.43175605,0.39465788,0.42915693,0.41284165
0.4047462,0.22373086,0.27151456,0.21398227,0.5916054,0.6892693,0.5796092
0.6874334,0.24032415,0.096264936,0.8696816,0.4156501,0.29641032,0.19818152
0.91768646,0.52851737,0.14034669,0.39225578,0.81988555,0.55998373,0.32326916
0.7880043,0.5477048,0.34789038,0.831415,0.21098593,0.15336013,0.61361027
0.47244486,0.37218872,0.82629126,0.30674544,0.63761455,0.24051519,0.2171065
0.4319592,0.7677486,0.5394076,0.2839197,0.50451565,0.21532239,0.44846922
0.78110343,0.37400144,0.770829,0.5418817,0.1993648,0.20478036,0.6749157
